c_0              ; 79    ;  73
c_1              ; 100   ;  91
c_2              ; 121   ;  109
c_3              ; 142   ;  127
c_4              ; 293   ;  256   
c_5              ; 313   ;  274   
c_6              ; 334   ;  292   
c_7              ; 354   ;  309   
c_8              ; 373   ;  327   
c_9              ; 0     ;  0 
c_10             ; 0     ;  0  
c_11             ; 0     ;  0  
m_0              ; 50    ;  67  
m_1              ; 50    ;  68 
m_2              ; 51    ;  69  
m_3              ; 50    ;  68  
m_4              ; 50    ;  70  
m_5              ; 52    ;  71  
m_6              ; 50    ;  70  
m_7              ; 50    ;  71  
m_8              ; 51    ;  72  
m_9              ; 0     ;  0 
m_10             ; 0     ;  0  
m_11             ; 0     ;  0  
line_count       ; 0     ;  0      
center_x_0       ; 444   ;  105        
center_x_1       ; 171   ;  183        
center_x_2       ; 262   ;  260        
center_x_3       ; 352   ;  338        
center_x_4       ; 48    ;  444       
center_x_5       ; 174   ;  100        
center_x_6       ; 351   ;  252        
center_x_7       ; 511   ;  175        
center_x_8       ; 511   ;  511        
center_x_9       ; 511   ;  511        
center_y_0       ; 67    ;  59       
center_y_1       ; 69    ;  62       
center_y_2       ; 68    ;  66       
center_y_3       ; 68    ;  69      
center_y_4       ; 109   ;  107        
center_y_5       ; 300   ;  260        
center_y_6       ; 301   ;  267        
center_y_7       ; 511   ;  298        
center_y_8       ; 511   ;  511        
center_y_9       ; 511   ;  511        


c 142 = y 68 (+74)
